time,A:gene off,A:gene on,A:mRNA,A:protein
0.439672,1,1,6,86
0.169503,1,1,7,86
0.130338,1,1,8,86
0.432282,2,0,8,86
0.351394,2,0,8,87
0.105992,2,0,8,88
0.0417191,2,0,7,88
0.612113,2,0,7,89
0.139526,2,0,7,90
0.0803545,2,0,6,90
0.00280462,2,0,5,90
0.783634,2,0,5,91
0.197361,2,0,5,92
1.37683,2,0,4,92
0.532303,2,0,4,93
0.532755,2,0,3,93
1.13117,2,0,3,94
1.81108,2,0,3,95
1.04678,2,0,3,96
0.278038,2,0,3,95
0.180166,2,0,3,96
0.141898,2,0,3,97
0.467634,2,0,3,98
1.28004,2,0,3,99
0.302421,2,0,3,98
0.322073,2,0,3,99
0.0071824,2,0,3,100
1.74644,2,0,3,99
0.273046,2,0,2,99
0.293686,2,0,1,99
0.260494,2,0,1,100
2.30217,2,0,0,100
1.87921,2,0,0,99
2.71024,2,0,0,98
1.03416,2,0,0,97
6.06982,1,1,0,97
0.330672,1,1,1,97
0.252259,1,1,2,97
0.0356252,1,1,3,97
0.590099,1,1,2,97
0.0525846,1,1,2,98
0.0993637,1,1,3,98
0.189722,1,1,4,98
0.445797,1,1,5,98
0.351195,1,1,6,98
0.0358768,1,1,7,98
0.267666,1,1,7,99
0.268063,1,1,7,100
0.0791637,1,1,7,101
0.00071626,1,1,8,101
0.0448148,1,1,9,101
0.192021,1,1,10,101
0.00785792,1,1,11,101
0.163718,1,1,11,102
0.105384,1,1,12,102
0.10097,1,1,12,103
0.00248755,1,1,12,104
0.114716,1,1,12,105
0.7732,1,1,11,105
0.0878552,1,1,10,105
0.136893,1,1,10,106
0.0755998,1,1,10,107
0.0297972,1,1,11,107
0.856692,1,1,12,107
0.0731706,1,1,12,108
0.0153711,1,1,13,108
0.0539047,2,0,13,108
0.0429991,2,0,12,108
0.128744,2,0,11,108
0.201594,2,0,11,109
0.414899,2,0,10,109
0.50332,2,0,10,110
0.220861,2,0,10,111
0.0736137,2,0,9,111
0.130093,2,0,9,112
0.0733815,2,0,9,113
0.347356,2,0,9,114
0.21271,2,0,8,114
0.180868,2,0,7,114
0.356686,2,0,7,115
0.057471,2,0,7,116
0.44481,2,0,7,117
0.0206588,2,0,7,118
0.0371583,2,0,7,119
0.163466,2,0,7,120
0.202303,2,0,6,120
0.270868,2,0,6,121
0.0441028,2,0,6,122
0.51411,2,0,6,123
0.348069,2,0,6,124
0.164688,2,0,6,125
0.309836,2,0,6,126
0.133908,2,0,5,126
0.725939,1,1,5,126
0.114588,1,1,5,125
0.108853,1,1,5,124
0.283103,1,1,5,125
0.481734,1,1,6,125
0.060363,1,1,7,125
0.134212,1,1,8,125
0.0127982,1,1,8,126
0.224237,1,1,8,125
0.0827137,1,1,8,126
0.16105,2,0,8,126
0.275378,2,0,8,127
0.259349,2,0,8,126
0.0850065,2,0,7,126
0.120288,2,0,7,127
0.157114,2,0,7,128
0.202294,2,0,7,129
0.00879517,2,0,7,130
0.327678,2,0,7,131
0.509544,2,0,6,131
0.752845,2,0,5,131
0.101736,2,0,4,131
0.496229,2,0,4,132
0.0731536,2,0,4,131
0.889384,2,0,4,132
0.090758,1,1,4,132
0.355708,2,0,4,132
0.308825,2,0,3,132
0.140672,2,0,3,131
0.515884,2,0,3,132
0.256633,2,0,3,133
0.507044,2,0,2,133
0.0502839,2,0,2,132
0.456704,2,0,2,133
1.23882,2,0,2,132
1.28801,2,0,2,133
0.3511,2,0,2,132
0.940249,2,0,2,133
0.0736139,2,0,2,132
1.68449,2,0,2,133
0.358251,2,0,2,134
0.909582,2,0,2,133
0.710047,2,0,2,132
0.705963,2,0,2,133
2.10832,2,0,2,132
0.69848,2,0,2,133
0.0724421,2,0,2,134
1.27451,2,0,1,134
0.0419408,2,0,1,133
1.09047,2,0,1,134
0.722154,2,0,1,133
0.148604,2,0,0,133
0.928086,2,0,0,132
1.23935,2,0,0,131
5.59367,2,0,0,130
3.41513,2,0,0,129
2.54943,2,0,0,128
1.3656,2,0,0,127
13.1646,2,0,0,126
9.64409,2,0,0,125
0.29912,1,1,0,125
0.321557,2,0,0,125
0.517756,2,0,0,124
0.466373,2,0,0,123
0.293404,2,0,0,122
1.61495,2,0,0,121
5.7264,2,0,0,120
4.81435,2,0,0,119
1.37257,2,0,0,118
1.83491,2,0,0,117
1.76931,2,0,0,116
0.469388,2,0,0,115
13.2206,2,0,0,114
1.56725,1,1,0,114
0.278127,1,1,1,114
0.0226231,1,1,2,114
0.646674,1,1,3,114
0.00466688,1,1,4,114
0.160717,1,1,5,114
0.481265,1,1,6,114
0.239891,2,0,6,114
0.535221,2,0,6,115
0.75943,2,0,6,116
0.245252,2,0,5,116
0.680693,2,0,5,117
0.0296571,2,0,4,117
0.0804799,2,0,4,118
0.134409,2,0,4,119
0.493575,2,0,3,119
0.877529,2,0,3,120
0.645335,2,0,2,120
0.0430807,2,0,2,121
1.62664,2,0,2,122
0.313533,2,0,2,121
0.451944,2,0,1,121
0.756094,2,0,1,122
3.25241,2,0,1,121
1.04364,2,0,1,120
0.313023,2,0,1,121
1.04737,2,0,1,120
1.32896,2,0,1,119
2.66185,2,0,1,118
1.07354,2,0,1,117
2.19615,2,0,1,116
2.27449,2,0,1,115
1.03858,2,0,0,115
3.06298,1,1,0,115
0.1725,1,1,1,115
1.35699,1,1,2,115
0.323725,1,1,3,115
0.0881541,1,1,4,115
0.183043,1,1,4,116
0.0269385,1,1,4,117
0.331295,1,1,3,117
0.00813168,1,1,3,118
0.0310005,1,1,3,119
0.372474,1,1,3,120
1.154,1,1,3,119
0.14125,1,1,3,120
0.178381,2,0,3,120
0.119489,2,0,3,121
0.0763415,2,0,3,122
0.188662,2,0,3,121
0.434797,2,0,2,121
3.86199,2,0,2,122
2.01453,2,0,2,123
0.679842,2,0,2,124
0.183144,2,0,2,123
1.60879,2,0,1,123
0.125865,2,0,1,124
1.14415,2,0,1,123
2.65386,2,0,1,122
1.39126,2,0,1,121
0.304541,2,0,1,120
2.9148,2,0,1,121
0.822676,2,0,0,121
1.89658,2,0,0,120
0.758083,1,1,0,120
0.843534,1,1,1,120
